# Why each corpus ROM admits zero descriptor tables, measured 2026-08-05.
#
# Produced by examples/probe_zero_admitted_cause.rs over all 287 ROMs.
# 246 ROMs fail with NoUniqueAdmittedTable{admitted:0}; this splits that
# bucket by CAUSE, because the causes need different fixes:
#
#   NO_CANDIDATES              229  the family search enumerated NOTHING.
#                                   The AKI descriptor SHAPE (stride set,
#                                   field layout, vram window) does not
#                                   occur in the ROM at all.
#   CANDIDATES_NONE_ADMITTED    10  candidates exist, none admitted.
#                                   EVERY one has best_mapped=0 -- not a
#                                   marginal floor miss; the regions do not
#                                   decode as loadable code, so lowering
#                                   min_records would admit garbage.
#   ADMITTED_<n>                48  n tables admitted (n=1 is unique).
#
# CONSEQUENCE: no admission-rule tuning reaches 80% of the corpus. Those
# ROMs need a DIFFERENT descriptor family (see vrom_family, or per-overlay
# headers as in Bomberman 64), not a looser AKI-family threshold.
#
# FOLLOW-UP MEASUREMENT (2026-08-05) -- the ceiling is lower than "a second
# family" implies, and this is the number that should drive planning:
#
#   186 / 229 (81%)  have NO CODE OVERLAYS AT ALL. >=95% of every JR RA sits
#                    in ONE leading resident span. Independently reproduced on
#                    Super Mario 64: 5,198 JR RA, 0.84 of them below 0x200000.
#                    No descriptor family can unlock these -- there is nothing
#                    to describe. They are single-bank games.
#    43 / 229 (19%)  genuinely multi-span, real overlays exist (ISS 2000,
#                    Pokemon Stadium, Sin & Punishment). Their descriptors are
#                    SCATTERED POINTER REFERENCES, not contiguous arrays --
#                    ISS 2000's off-bank code at 0x260000 is referenced by 550
#                    ROM words, none as an adjacent triple.
#     2 / 229        dmadata (OoT, MM): 16B [vromS][vromE][romS][romE], VROM-
#                    indirect and Yaz0-compressed (1457/1510 entries in OoT).
#     1 / 229        Rare deflate (Banjo-Kazooie).
#
# WHY THE SEARCH FINDS NOTHING: overlay_regions/mod.rs:371-378 hard-codes three
# ADJACENT words [rom_start][rom_end][vram_dest]. All 6 field permutations were
# tested across 224 ROMs and NO permutation helps; apparent hits are counter
# arrays with jrra=0 in their regions. Relaxing the field layout is worth 0
# ROMs and would admit garbage.
#
# So the realistic ceiling for table-shaped discovery is ~48 + 15-25 = 63-73 of
# 287, not 287. "All N64 ROM support" via one more descriptor family is not
# available; the single-bank majority needs no overlay discovery at all.
cause	rom	detail
ADMITTED_1	007 - The World Is Not Enough (Europe) (En,Fr,De)	candidates=4
ADMITTED_1	Air Boarder 64 (Europe)	candidates=2
ADMITTED_1	Big Mountain 2000 (USA)	candidates=14
ADMITTED_1	Bottom of the 9th (USA)	candidates=40
ADMITTED_1	Castlevania (Europe) (En,Fr,De)	candidates=8
ADMITTED_1	Cruis'n USA (USA) (Rev B)	candidates=2
ADMITTED_1	Dezaemon 3D (Japan)	candidates=2
ADMITTED_1	Fighter Destiny 2 (USA)	candidates=8
ADMITTED_1	Flying Dragon (USA)	candidates=8
ADMITTED_1	Gex 64 - Enter the Gecko (Europe)	candidates=8
ADMITTED_1	Kirby 64 - The Crystal Shards (Europe)	candidates=2
ADMITTED_1	Knife Edge - Nose Gunner (USA)	candidates=103
ADMITTED_1	Mario Golf (Europe)	candidates=6
ADMITTED_1	Mega Man 64 (USA)	candidates=2
ADMITTED_1	Mortal Kombat Trilogy (USA) (Rev A)	candidates=28
ADMITTED_1	NHL Blades of Steel '99 (USA)	candidates=4
ADMITTED_1	Off Road Challenge (USA)	candidates=2
ADMITTED_1	Quest 64 (USA)	candidates=8
ADMITTED_1	Rally Challenge 2000 (USA)	candidates=2
ADMITTED_1	SD Hiryuu no Ken Densetsu (Japan)	candidates=8
ADMITTED_1	Tarzan (France)	candidates=31
ADMITTED_1	Top Gear Rally (USA)	candidates=16
ADMITTED_1	Twisted Edge - Extreme Snowboarding (USA)	candidates=2
ADMITTED_1	Virtual Pro Wrestling 2 - Oudou Keishou (Japan)	candidates=2
ADMITTED_1	WCW vs. nWo - World Tour (USA) (Rev A)	candidates=2
ADMITTED_1	WCW-nWo Revenge (USA)	candidates=2
ADMITTED_1	WWF No Mercy (USA) (Rev A)	candidates=2
ADMITTED_1	WWF WrestleMania 2000 (USA)	candidates=4
ADMITTED_1	Wave Race 64 (USA) (Rev A)	candidates=10
ADMITTED_12	Paper Mario (Europe) (En,Fr,De,Es)	candidates=144
ADMITTED_2	Dual Heroes (USA)	candidates=10
ADMITTED_2	GT64 - Championship Edition (USA)	candidates=25
ADMITTED_2	Gex 3 - Deep Cover Gecko (Europe) (Fr,De)	candidates=48
ADMITTED_2	Mario Party 3 (Europe) (En,Fr,De,Es)	candidates=12
ADMITTED_2	Nagano Winter Olympics '98 (USA)	candidates=12
ADMITTED_2	Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A)	candidates=6
